Type,"Country Code","Series Code","Description"
Country-Series,"Denmark (DNK)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Denmark (DNK)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, Statistics Denmark"
Country-Series,"Denmark (DNK)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Denmark (DNK)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, Statistics Denmark"
Country-Series,"Dominican Republic (DOM)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1989 SIPRI estimates."
Country-Series,"Dominican Republic (DOM)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1989 SIPRI estimates."
Country-Series,"Dominican Republic (DOM)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Dominican Republic (DOM)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Dominican Republic (DOM)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Dominican Republic (DOM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Dominican Republic (DOM)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1990 & 1992 SIPRI estimates. 2017-2018 highly uncertain data."
Country-Series,"Algeria (DZA)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1990 & 1992 SIPRI estimates. 2017-2018 highly uncertain data."
Country-Series,"Algeria (DZA)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2016-2018 highly uncertain data."
Country-Series,"Algeria (DZA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2013 SIPRI estimates."
Country-Series,"Ecuador (ECU)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2013 SIPRI estimates."
Country-Series,"Ecuador (ECU)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2013 SIPRI estimates."
Country-Series,"Ecuador (ECU)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","GDP, PPP (current international $) (NY.GDP.MKTP.PP.CD)","Estimates are based on regression."
Country-Series,"Eritrea (ERI)","GDP, PPP (constant 2011 international $) (NY.GDP.MKTP.PP.KD)","Estimates are based on regression."
Country-Series,"Eritrea (ERI)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Estimates are based on regression."
Country-Series,"Eritrea (ERI)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Estimates are based on regression."
Country-Series,"Eritrea (ERI)","PPP conversion factor, private consumption (LCU per international $) (PA.NUS.PRVT.PP)","Estimates are based on regression."
Country-Series,"Eritrea (ERI)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Spain (ESP)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Spain (ESP)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Spain (ESP)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, Instituto Nacional de Estadistica"
Country-Series,"Spain (ESP)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Spain (ESP)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, Instituto Nacional de Estadistica"
Country-Series,"Estonia (EST)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Estonia (EST)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Estonia (EST)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Estonia (EST)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Estonia (EST)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Ethiopia (ETH)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1990 & 1992 SIPRI estimates. 2016-2018 highly uncertain data."
Country-Series,"Ethiopia (ETH)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1990 & 1992 SIPRI estimates. 2016-2018 highly uncertain data."
Country-Series,"Ethiopia (ETH)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1990 & 1992 SIPRI estimates. 2016-2018 highly uncertain data."
Country-Series,"Ethiopia (ETH)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Ethiopia (ETH)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Ethiopia (ETH)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ethiopia (ETH)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ethiopia (ETH)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Finland (FIN)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1984 & 2001-2006 SIPRI estimates."
Country-Series,"Finland (FIN)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1984 & 2001-2006 SIPRI estimates."
Country-Series,"Finland (FIN)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2001-2006 SIPRI estimates."
Country-Series,"Finland (FIN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Finland (FIN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Finland (FIN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, Statistics Finland"
Country-Series,"Finland (FIN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Finland (FIN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, Statistics Finland"
Country-Series,"Fiji (FJI)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Fiji (FJI)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Fiji (FJI)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Fiji (FJI)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Fiji (FJI)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"France (FRA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"France (FRA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"France (FRA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source and note: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion."
Country-Series,"France (FRA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"France (FRA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source and note: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion."
Country-Series,"Faroe Islands (FRO)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Statistics Faroe Islands"
Country-Series,"Faroe Islands (FRO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Faroe Islands (FRO)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Statistics Faroe Islands"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2010 SIPRI estimates."
Country-Series,"Gabon (GAB)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2010 SIPRI estimates."
Country-Series,"Gabon (GAB)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2010 SIPRI estimates."
Country-Series,"Gabon (GAB)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"United Kingdom (GBR)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"United Kingdom (GBR)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"United Kingdom (GBR)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, National Statistics"
Country-Series,"United Kingdom (GBR)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"United Kingdom (GBR)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, National Statistics"
Country-Series,"Georgia (GEO)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1997-2001 & 2011-2018 SIPRI estimates."
Country-Series,"Georgia (GEO)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1997-2001 & 2011-2018 SIPRI estimates."
Country-Series,"Georgia (GEO)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1997-2001 & 2011-2018 SIPRI estimates."
Country-Series,"Georgia (GEO)","GDP per capita (current US$) (NY.GDP.PCAP.CD)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","GDP per capita (current LCU) (NY.GDP.PCAP.CN)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","GDP per capita (constant 2010 US$) (NY.GDP.PCAP.KD)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","GDP per capita growth (annual %) (NY.GDP.PCAP.KD.ZG)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","GDP per capita (constant LCU) (NY.GDP.PCAP.KN)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Excludes Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects. Including Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects. Including Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source and note: United Nations World Population Prospects. Including Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Georgia (GEO)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source and note: United Nations World Population Prospects. Including Abkhazia and South Ossetia."
Country-Series,"Ghana (GHA)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Ghana (GHA)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Ghana (GHA)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ghana (GHA)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Ghana (GHA)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1983-1984 SIPRI estimates."
Country-Series,"Gambia, The (GMB)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1983-1984 SIPRI estimates."
Country-Series,"Gambia, The (GMB)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Greece (GRC)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1984-2001 SIPRI estimates."
Country-Series,"Greece (GRC)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1984-2001 SIPRI estimates."
Country-Series,"Greece (GRC)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","1988-2001 SIPRI estimates."
Country-Series,"Greece (GRC)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Greece (GRC)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Human Mortality Database by University of California, Berkeley, and Max Planck Institute for Demographic Research."
Country-Series,"Greece (GRC)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Greece (GRC)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Greece (GRC)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Eurostat, United Nations World Population Prospects"
Country-Series,"Grenada (GRD)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Grenada (GRD)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Grenada (GRD)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Grenada (GRD)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Grenada (GRD)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Greenland (GRL)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: Statistics Greenland"
Country-Series,"Greenland (GRL)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: Statistics Greenland"
Country-Series,"Greenland (GRL)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Statistics Greenland, United Nations Population and Vital Statistics Report"
Country-Series,"Greenland (GRL)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Greenland (GRL)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Statistics Greenland, United Nations Population and Vital Statistics Report"
Country-Series,"Guatemala (GTM)","Military expenditure (current USD) (MS.MIL.XPND.CD)","1960-1984 SIPRI estimates."
Country-Series,"Guatemala (GTM)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","1960-1984 SIPRI estimates."
Country-Series,"Guatemala (GTM)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Guatemala (GTM)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Guatemala (GTM)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guatemala (GTM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guatemala (GTM)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2000-2007 SIPRI estimates."
Country-Series,"Guyana (GUY)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2000-2007 SIPRI estimates."
Country-Series,"Guyana (GUY)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2000-2007 SIPRI estimates."
Country-Series,"Guyana (GUY)","GDP, PPP (current international $) (NY.GDP.MKTP.PP.CD)","Estimates are based on regression."
Country-Series,"Guyana (GUY)","GDP, PPP (constant 2011 international $) (NY.GDP.MKTP.PP.KD)","Estimates are based on regression."
Country-Series,"Guyana (GUY)","GDP per capita, PPP (current international $) (NY.GDP.PCAP.PP.CD)","Estimates are based on regression."
Country-Series,"Guyana (GUY)","GDP per capita, PPP (constant 2011 international $) (NY.GDP.PCAP.PP.KD)","Estimates are based on regression."
Country-Series,"Guyana (GUY)","PPP conversion factor, private consumption (LCU per international $) (PA.NUS.PRVT.PP)","Estimates are based on regression."
Country-Series,"Guyana (GUY)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: United Nations World Population Prospects"
Country-Series,"Hong Kong SAR, China (HKG)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Hong Kong SAR, China (HKG)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
Country-Series,"Hong Kong SAR, China (HKG)","Life expectancy at birth, female (years) (SP.DYN.LE00.FE.IN)","Data source: Census and Statistics Department, United Nations World Population Prospects"
Country-Series,"Hong Kong SAR, China (HKG)","Life expectancy at birth, total (years) (SP.DYN.LE00.IN)","Derived using male and female life expectancy"
Country-Series,"Hong Kong SAR, China (HKG)","Life expectancy at birth, male (years) (SP.DYN.LE00.MA.IN)","Data source: Census and Statistics Department, United Nations World Population Prospects"
Country-Series,"Honduras (HND)","Military expenditure (current USD) (MS.MIL.XPND.CD)","2000-2005 & 2017 SIPRI estimates."
Country-Series,"Honduras (HND)","Military expenditure (current LCU) (MS.MIL.XPND.CN)","2000-2005 & 2018 SIPRI estimates."
Country-Series,"Honduras (HND)","Military expenditure (% of general government expenditure) (MS.MIL.XPND.ZS)","2000-2005 & 2017-2018 SIPRI estimates."
Country-Series,"Honduras (HND)","Mortality rate, adult, female (per 1,000 female adults) (SP.DYN.AMRT.FE)","Data source: United Nations World Population Prospects"
Country-Series,"Honduras (HND)","Mortality rate, adult, male (per 1,000 male adults) (SP.DYN.AMRT.MA)","Data source: United Nations World Population Prospects"
